App_Name,Adam_ID,Categories,Additional_Info,iTunes_URL
10 Frame Fill,418083871,19,,https://itunes.apple.com/us/app/10-frame-fill/id418083871?mt=8
123 Genius First Numbers & Counting Game for Kids,717296618,19,,https://itunes.apple.com/us/app/123-genius-first-numbers-counting-game-for-kids/id717296618?mt=8
"2D - Paint, Draw, Sketch, Collage",861847280,8,,https://itunes.apple.com/US/app/id861847280?mt=8
3 Minute Mindfulness,982502810,"10, a, d",,https://itunes.apple.com/us/app/3-minute-mindfulness/id982502810?mt=8
Abilipad,435865000,"5, a, h",,https://itunes.apple.com/us/app/abilipad/id435865000?mt=8
All Add Up,628142196,19,,https://itunes.apple.com/us/app/all-add-up/id628142196?mt=8
Amazing Coin(USD): Educational Money learning & counting games for kids free,495887877,19,,https://itunes.apple.com/us/app/amazing-coin-usd-educational/id495887877?mt=8
Amazing World Atlas by Lonely Planet Kids,935556615,13,e-book,https://itunes.apple.com/us/book/the-kids-amazing-world-atlas/id935556615?mt=11
"Animate Me:School Edition 
",935214461,8,,https://itunes.apple.com/us/app/animate-me-school-edition/id935214461?mt=8
ASL Translator,421784745,"16, a, g",,https://itunes.apple.com/us/app/asl-translator/id421784745?mt=8
Attributes by Math Doodles,989198394,19,,https://itunes.apple.com/us/app/attributes-by-math-doodles/id989198394?mt=8
Baby Bubbles,842788895,10,,https://itunes.apple.com/us/app/baby-bubbles-free-ad-free-bubble-popping-game-for-infants/id842788895?mt=8
Baby's Musical Hands,447815630,12,,https://itunes.apple.com/us/app/babys-musical-hands/id447815630?mt=8
Barefoot World Atlas,489221652,"13, a",,https://itunes.apple.com/us/app/barefoot-world-atlas/id489221652?mt=8
Bedtime Math,637910701,19,,https://itunes.apple.com/us/app/bedtime-math/id637910701?mt=8
Best Sand Timer,501940934,2,,https://itunes.apple.com/us/app/best-sand-timer/id501940934?mt=8
"Bitsboard - Education, Games, and Flash Cards App",516842210,"18, h",Bitsboard Pro  also available,https://itunes.apple.com/us/app/bitsboard-education-games-and-flash-cards-app/id516842210?mt=8
